Price_Dollars,Quantity,Class
3.07,"136,654",Q_Low_Gallons_per_Day
3.59,"129,765",Q_Low_Gallons_per_Day
4.04,"116,638",Q_Low_Gallons_per_Day
4.52,"103,509",Q_Low_Gallons_per_Day
5.03,"127,965",Q_Low_Gallons_per_Day
5.57,"116,846",Q_Low_Gallons_per_Day
6,"114,873",Q_Low_Gallons_per_Day
6.57,"109,638",Q_Low_Gallons_per_Day
7.05,"100,635",Q_Low_Gallons_per_Day
7.55,"117,096",Q_Low_Gallons_per_Day
8.07,"120,148",Q_Low_Gallons_per_Day
8.5,"97,097",Q_Low_Gallons_per_Day
9.06,"90,002",Q_Low_Gallons_per_Day
9.59,"105,702",Q_Low_Gallons_per_Day
10.02,"105,274",Q_Low_Gallons_per_Day
10.56,"99,190",Q_Low_Gallons_per_Day
11.08,"77,755",Q_Low_Gallons_per_Day
11.59,"82,770",Q_Low_Gallons_per_Day
12.01,"72,952",Q_Low_Gallons_per_Day
3.07,"119,737",Q_High_Gallons_per_Day
3.59,"142,781",Q_High_Gallons_per_Day
4.04,"135,465",Q_High_Gallons_per_Day
4.52,"136,424",Q_High_Gallons_per_Day
5.03,"133,963",Q_High_Gallons_per_Day
5.57,"142,611",Q_High_Gallons_per_Day
6,"112,254",Q_High_Gallons_per_Day
6.57,"136,498",Q_High_Gallons_per_Day
7.05,"136,389",Q_High_Gallons_per_Day
7.55,"120,384",Q_High_Gallons_per_Day
8.07,"105,327",Q_High_Gallons_per_Day
8.5,"119,287",Q_High_Gallons_per_Day
9.06,"118,743",Q_High_Gallons_per_Day
9.59,"103,114",Q_High_Gallons_per_Day
10.02,"109,818",Q_High_Gallons_per_Day
10.56,"105,729",Q_High_Gallons_per_Day
11.08,"108,111",Q_High_Gallons_per_Day
11.59,"131,548",Q_High_Gallons_per_Day
12.01,"102,954",Q_High_Gallons_per_Day
